Spent,Profit,Payouts,Plays
18,7,0|25|0,✨🤔✨|🦆♾🤔|✨🦆✨
18,57,50|0|25,✨♾♾|✨🃏✨|✨♾🤔
18,13,0|6|25,🤔🃏✨|✨✨🤔|🤔🦆♾
18,8,1|0|25,🃏🤔🤔|🦆🔺🃏|🤔♾🦆
18,-12,6|0|0,🦆✨✨|🤔🦆✨|🦆✨🔺
18,7,0|25|0,🦆🃏🦆|🔺♾🦆|🤔🃏🤔
18,-18,0|0|0,✨🦆🤔|🃏🤔🦆|🤔🦆🃏
18,-18,0|0|0,🦆🔺🤔|🦆✨🃏|🦆✨🦆
18,32,25|0|25,🦆♾✨|🃏🤔🦆|🦆♾✨
18,2,0|0|20,🤔🦆✨|🤔✨🔺|🔺🔺✨
6,-6,0,🦆🦆🦆
18,2,0|0|20,✨🦆🤔|🔺✨🃏|🦆🔺🔺
18,0,0|12|6,🦆✨🔺|🦆🃏🃏|🔺✨✨
18,0,6|12|0,✨✨🤔|🃏🃏✨|🦆✨🤔
18,-18,0|0|0,✨🃏🤔|🤔🦆🃏|🦆🔺✨
18,7,0|0|25,✨🦆✨|🃏🔺🃏|🔺♾🦆
18,-18,0|0|0,✨🃏🤔|🦆🤔🔺|🦆✨🤔
18,-18,0|0|0,🃏🦆🦆|🤔🔺✨|✨🤔✨
18,7,0|25|0,🦆🤔✨|🔺♾🔺|♾🦆🦆
18,0,12|6|0,🃏🃏🦆|🃏✨✨|🦆🤔🃏
18,32,25|25|0,♾🃏🃏|♾🃏🃏|🦆🔺✨
18,-18,0|0|0,✨🃏🤔|✨🦆🤔|🃏🦆🔺
18,-5,0|12|1,🃏🦆🦆|🔺🃏🃏|🦆🤔🤔
18,57,25|25|25,✨🦆♾|✨🦆♾|✨🦆♾
18,-12,0|0|6,🃏✨🦆|✨🤔✨|🦆✨✨
18,8,20|6|0,🔺🔺🤔|✨✨🃏|🔺🃏🤔
18,-18,0|0|0,🦆🦆🤔|🦆🔺🃏|🦆🦆🤔
18,-18,0|0|0,✨🤔🃏|🦆✨🃏|🦆🃏🤔
18,7,0|25|0,🦆🤔🦆|♾✨🔺|🦆🤔🦆
18,14,12|20|0,🔺🃏🃏|🔺🔺🤔|🦆🤔🦆
18,-15,0|0|3,🦆🤔🦆|🤔✨🔺|🤔🤔🤔
18,-17,0|1|0,🦆🔺🤔|✨🤔🤔|🤔🔺✨
18,-18,0|0|0,🔺🃏✨|🦆🦆🔺|🦆🤔🔺
18,-17,1|0|0,🔺🤔🤔|🤔🔺🤔|✨🤔🦆
18,19,25|12|0,♾🔺✨|🃏🃏🦆|✨🦆🦆
18,-12,6|0|0,✨✨🃏|🔺🦆✨|🃏✨🦆
18,19,25|0|12,♾🔺✨|🦆✨🤔|🃏🃏🔺
18,-6,0|12|0,🤔🔺🦆|🃏🃏✨|✨🃏🔺
18,-12,0|6|0,🔺🤔🔺|🦆✨✨|🔺🦆🦆
18,2,0|20|0,✨🔺✨|✨🔺🔺|🦆🦆🦆
18,-17,0|1|0,🦆🔺🃏|🤔🤔🔺|🃏🦆✨
18,44,25|12|25,🦆✨♾|✨🃏🃏|🦆✨♾
18,7,0|25|0,🦆🤔🃏|♾🔺🦆|🤔🦆🤔
18,-18,0|0|0,🔺🦆🦆|🤔🃏🔺|🤔🦆🃏
18,-12,0|6|0,🦆🤔🔺|🦆✨✨|🦆🤔🦆
18,-17,0|1|0,🔺🤔🦆|✨🤔🤔|✨🃏🦆
18,7,25|0|0,✨🦆♾|🦆🦆🔺|🦆🦆🔺
18,19,12|25|0,🃏🃏🦆|♾🤔🤔|🤔✨🦆
18,33,0|1|50,🦆🔺🤔|🤔🤔🦆|♾♾✨
18,-18,0|0|0,🔺🃏✨|🦆🔺✨|🦆🤔✨
18,-11,0|1|6,🃏✨🦆|🦆🤔🤔|✨✨🤔
18,38,25|25|6,🤔✨♾|🤔✨♾|✨✨🔺
18,2,0|20|0,🃏🔺✨|🔺🔺🦆|✨🦆🃏
18,-6,12|0|0,🃏🃏🔺|✨🔺🃏|🔺🦆🔺
18,-17,0|1|0,✨🃏✨|🤔🤔🃏|🦆🔺🦆
18,23,6|25|10,🦆✨✨|🔺♾🦆|✨✨✨
18,7,0|25|0,🦆🃏🤔|🦆🔺♾|✨🃏🤔
18,-16,0|1|1,🦆🦆✨|🤔🤔🦆|🤔🤔🦆
18,2,20|0|0,🔺🔺✨|🦆✨🤔|✨🤔🦆
18,7,0|0|25,✨🦆🔺|✨🦆✨|✨🔺♾
18,8,25|0|1,♾🔺✨|🦆🦆🔺|🔺🤔🤔
18,7,0|0|25,🔺🃏🦆|🤔🦆🔺|🦆♾🔺
18,-18,0|0|0,✨🃏🔺|🦆✨🔺|🃏🔺🦆
18,7,0|0|25,🦆🦆🤔|🦆🦆🤔|♾🃏✨
18,-6,0|0|12,✨🔺🦆|🦆🦆🔺|🃏🃏🔺
18,13,0|25|6,🦆✨🃏|🔺✨♾|✨✨🃏
18,6,12|12|0,🦆🃏🃏|🦆🃏🃏|🃏🦆🦆
12,-12,0|0,✨🤔✨|🦆🦆🦆
18,-12,6|0|0,🦆✨✨|🦆🤔🔺|🃏🤔🦆
18,2,20|0|0,🃏🔺🔺|🃏🤔🦆|🦆🔺🦆
18,-18,0|0|0,🃏🦆🔺|✨🦆🦆|🤔🦆✨
18,32,25|0|25,🔺✨♾|🤔🔺✨|🔺✨♾
18,-18,0|0|0,✨🤔✨|🤔🦆🔺|✨🦆🤔
18,-18,0|0|0,✨🦆🔺|🤔✨🔺|🔺🦆🦆
18,32,0|25|25,🤔🦆🤔|♾🤔✨|♾🤔✨
18,-18,0|0|0,🦆🤔🔺|🦆✨🃏|🤔🔺🤔
18,22,20|20|0,🦆🔺🔺|🦆🔺🔺|🦆🔺✨
18,-18,0|0|0,🤔✨🤔|🦆🔺🦆|🦆🤔🔺
18,7,25|0|0,🦆♾🤔|♾🦆🦆|🤔🦆🔺
18,-16,1|1|0,🤔🤔🔺|🤔🤔🔺|🤔🃏🦆
18,-18,0|0|0,✨🔺🃏|✨🤔✨|🤔🃏🤔
18,27,25|20|0,♾🤔🤔|🃏🔺🔺|✨🦆🦆
18,-6,6|0|6,✨✨🔺|🔺✨🃏|✨✨🔺
18,-17,0|0|1,🦆🦆🔺|🦆✨🦆|🤔🤔🔺
18,20,12|25|1,🃏🃏✨|♾✨🔺|🤔🤔🦆
18,13,25|6|0,🦆✨♾|🦆✨✨|🦆✨🤔
18,-5,0|12|1,✨🔺✨|🤔🃏🃏|🔺🤔🤔
18,19,0|12|25,🃏🔺🤔|🃏🃏✨|✨✨♾
18,-16,1|1|0,🦆🤔🤔|🦆🤔🤔|🦆🦆🤔
18,2,20|0|0,🔺🔺🦆|🦆✨🔺|🃏🔺🃏
18,23,1|20|20,🤔🤔🦆|🔺🔺🤔|🔺🔺🤔
18,-18,0|0|0,✨🤔✨|🦆🦆🃏|✨🃏🦆
18,-17,0|1|0,✨🤔🔺|🔺🤔🤔|🔺🤔🔺
18,-17,0|1|0,🦆✨🤔|🦆🤔🤔|🔺✨🦆
18,20,12|1|25,🃏🃏✨|🦆🤔🤔|✨🃏♾
18,6,0|12|12,🃏🦆🔺|🦆🃏🃏|🦆🃏🃏
18,-18,0|0|0,🤔🦆✨|🦆🔺✨|🦆🦆🔺
18,-18,0|0|0,🤔✨🤔|✨🦆🦆|✨🦆🦆
18,-12,6|0|0,✨✨🤔|✨🤔🦆|🃏🦆🦆
18,-18,0|0|0,🦆🔺🤔|🦆🤔✨|🃏🔺🦆
18,7,0|25|0,🤔🃏🔺|🤔♾🃏|🦆🦆🤔
18,-17,1|0|0,🔺🤔🤔|🃏🦆🔺|✨🤔🦆
18,7,0|25|0,✨🦆🃏|🦆♾🃏|🔺🦆🤔
18,-6,0|0|12,🃏🤔✨|🦆🃏🦆|🃏🃏🤔
18,-12,6|0|0,🔺✨✨|🤔🦆🤔|✨🤔✨
18,-10,6|1|1,✨✨🤔|🤔🤔✨|🤔🤔✨
18,2,0|20|0,🔺🦆🤔|🤔🔺🔺|🦆✨🔺
18,-18,0|0|0,🃏🤔🦆|🦆🦆🃏|🤔🃏🦆
18,2,20|0|0,🔺🔺🦆|🦆🦆🤔|🦆🤔🦆
18,-11,1|0|6,🔺🤔🤔|🦆🤔🔺|✨✨🦆
18,-12,0|6|0,🤔🦆🔺|✨✨🤔|✨🃏✨
18,5,0|3|20,🦆🤔🦆|🤔🤔🤔|🦆🔺🔺
18,-18,0|0|0,✨🔺✨|🔺🤔🔺|🃏✨🃏
18,7,0|25|0,🃏🔺🦆|🦆🃏♾|🔺🦆🔺
18,-17,1|0|0,🤔🤔🃏|🦆🤔✨|✨🔺✨
18,27,25|0|20,🦆🃏♾|🤔🦆🤔|🦆🔺🔺
18,7,0|25|0,🔺✨🦆|🤔♾🤔|🦆✨🔺
18,2,0|0|20,🔺🦆🦆|✨🃏✨|🔺🔺🃏
18,-17,1|0|0,✨🤔🤔|🦆🤔🦆|🃏🦆🃏
18,-12,6|0|0,🦆✨✨|🤔✨🦆|🔺✨🦆
18,19,12|0|25,🃏🃏🤔|🤔✨🤔|🤔🦆♾
18,-18,0|0|0,🤔🦆🤔|🔺🃏🦆|✨🔺🤔
18,-6,0|0|12,🃏✨🔺|🦆✨🃏|🔺🃏🃏
18,8,0|25|1,🃏✨🃏|🦆✨♾|🤔🤔🔺
18,-18,0|0|0,🔺🦆🔺|🔺🦆🦆|🦆🔺🤔
18,7,0|0|25,🤔🔺🃏|🤔🃏🦆|🔺🦆♾
18,-12,0|6|0,🦆🤔🦆|✨✨🤔|🃏✨🔺
12,-12,0|0,🤔🦆🦆|🦆🦆🦆
18,-18,0|0|0,🔺✨🃏|🃏✨🦆|🦆🦆✨
18,8,25|1|0,🔺♾🃏|🤔🤔🃏|🤔✨🃏
18,-17,0|1|0,🦆🃏🦆|✨🤔🤔|✨🦆🔺
18,-18,0|0|0,🦆🤔🦆|🦆🃏🤔|🔺🤔✨
18,32,25|25|0,🦆♾🤔|🦆♾🤔|🦆🦆🤔
18,32,50|0|0,♾♾🦆|🦆🤔✨|🦆✨🦆
12,13,25|0,🤔🦆♾|🦆🦆🦆
18,7,0|0|25,🃏🔺🦆|🤔🦆🤔|🤔♾✨
18,7,0|0|25,🃏🦆🤔|🦆🦆🃏|🃏✨♾
18,19,0|25|12,🦆🔺🃏|🦆♾🦆|🦆🃏🃏
18,-18,0|0|0,✨🤔✨|🃏🤔🦆|🦆🤔✨
18,-18,0|0|0,🤔🦆🦆|🦆🃏🤔|✨🦆✨
18,2,0|0|20,✨🔺🦆|🦆🦆🤔|🦆🔺🔺
18,-18,0|0|0,🔺🃏🦆|✨🤔🔺|🤔🦆✨
18,7,25|0|0,🤔🤔♾|🃏🦆🦆|✨🦆🔺
18,42,10|0|50,✨✨✨|🦆✨🤔|♾♾🃏
18,0,18|0|0,🃏🃏🃏|🤔✨🔺|🔺🦆🔺
18,3,20|0|1,🔺🔺🃏|🦆🃏🔺|🦆🤔🤔
18,2,0|20|0,🃏🤔🃏|🔺🔺🦆|🤔🦆🃏
18,-18,0|0|0,✨🔺✨|🦆✨🤔|🦆🤔✨
18,19,0|25|12,🔺✨🃏|🔺♾🃏|✨🃏🃏
18,-18,0|0|0,🔺🦆✨|🦆🦆🤔|✨🔺🃏
18,-12,0|0|6,🃏🤔🦆|🤔✨🦆|✨✨🦆
18,7,0|25|0,🃏🔺🦆|🃏🤔♾|🔺🃏🦆
18,7,0|0|25,🦆🤔🦆|🦆🤔🔺|🃏♾🃏
18,27,20|0|25,🔺🔺✨|🃏✨🤔|🦆♾🔺
18,-18,0|0|0,🔺🦆🤔|🦆🦆🔺|🤔🔺✨
18,11,25|1|3,✨♾🦆|🤔🤔🔺|🤔🤔🤔
18,-17,0|1|0,🤔🦆✨|🤔🤔🔺|🃏🤔🔺
18,3,1|20|0,🤔🤔🔺|🔺🔺✨|🤔🔺🦆
18,0,0|12|6,🔺🦆🤔|🃏🃏🔺|✨✨🤔
18,-18,0|0|0,🃏🤔🦆|🦆🔺🦆|🤔✨🦆
18,-12,6|0|0,✨✨🦆|🔺🤔🃏|✨🦆🃏
18,8,25|1|0,♾🦆🔺|🤔🤔🦆|🦆🤔✨
18,-5,12|0|1,🃏🃏🔺|🦆🔺🦆|🤔🤔✨
18,7,25|0|0,♾✨✨|🤔🃏🔺|🔺🦆🃏
18,-8,10|0|0,✨✨✨|🦆🤔✨|🤔🦆🃏
18,-18,0|0|0,🦆🤔🦆|🤔✨🦆|🦆✨🦆
18,-12,6|0|0,🦆✨✨|✨🦆🃏|✨🦆🤔
18,7,0|25|0,🦆🦆🤔|✨♾🃏|✨🤔🦆
18,-18,0|0|0,🃏🦆🃏|🔺🦆🔺|🤔🔺🃏
18,8,0|20|6,✨🔺🤔|🃏🔺🔺|🦆✨✨
18,-18,0|0|0,🦆🔺✨|🦆🔺🤔|🦆🔺🃏
18,7,0|25|0,🃏✨🃏|🤔🤔♾|🃏🦆🤔
18,-18,0|0|0,🦆🤔🔺|🦆🦆🔺|🤔🃏🦆
18,2,0|20|0,✨🃏🔺|🔺🔺🦆|🦆🤔🔺
18,13,6|0|25,✨✨🔺|🤔🃏✨|🤔🔺♾
18,-12,0|6|0,🤔🃏✨|🃏✨✨|✨🦆🃏
18,-17,1|0|0,🃏🤔🤔|🤔✨🃏|🃏🤔✨
18,-18,0|0|0,🔺🃏🤔|🤔🔺🃏|✨🃏🦆
18,7,0|0|25,🃏🦆🤔|🔺🦆✨|🦆✨♾
18,-18,0|0|0,🤔✨🃏|🃏🦆🃏|🦆🦆🤔
18,10,3|25|0,🤔🤔🤔|🤔♾🃏|🔺🤔✨
18,-18,0|0|0,🦆🃏✨|🤔🔺🃏|✨🔺✨
18,-18,0|0|0,🦆🔺✨|✨🤔✨|🤔🦆🃏
18,7,0|25|0,🤔✨🦆|🤔♾🔺|🤔🔺🦆
18,2,20|0|0,🤔🔺🔺|✨🃏🔺|🦆🦆🃏
18,2,0|20|0,🃏✨🔺|🔺🔺🦆|✨🃏✨
18,23,20|20|1,🔺🔺🦆|🔺🔺🦆|✨🤔🤔
18,32,25|25|0,♾🃏🤔|♾🃏🤔|🦆🦆🃏
18,20,1|25|12,🃏🤔🤔|♾✨🃏|🃏🃏✨
18,7,25|0|0,🃏♾✨|✨🤔🔺|✨🤔🔺
18,28,25|1|20,🦆♾✨|✨🤔🤔|✨🔺🔺
18,-18,0|0|0,🦆🃏✨|🦆✨🦆|🤔🔺🤔
18,32,25|25|0,✨♾🦆|✨♾🦆|🔺🤔🃏
18,7,0|25|0,🦆✨🃏|🦆🔺♾|🦆🦆🤔
18,-18,0|0|0,🦆🦆🤔|🤔🃏🦆|🤔🦆🤔
18,-18,0|0|0,🦆🦆✨|🃏✨🤔|🃏🔺🦆
18,-8,10|0|0,✨✨✨|🦆🃏✨|🃏🦆🔺
18,9,1|25|1,🤔🤔🃏|♾✨🦆|🤔🤔🃏
18,-18,0|0|0,🦆🤔🦆|🔺✨🦆|✨🦆🤔
18,-17,0|0|1,🤔✨🤔|🦆✨🦆|🤔🤔🦆
18,-18,0|0|0,🔺🃏🤔|✨🦆🦆|🦆🤔🦆
18,-18,0|0|0,🔺🃏🤔|🦆🤔🃏|🤔🦆🔺
18,13,6|0|25,🦆✨✨|🦆🤔🦆|♾🦆✨
18,19,0|25|12,🤔🦆🤔|🃏♾🦆|🃏🃏🔺
18,8,25|1|0,🤔♾🔺|🤔🤔🦆|🃏🦆🔺
18,8,0|25|1,🔺🃏🔺|🔺♾✨|🤔🤔🦆
18,-17,0|1|0,🦆🦆🤔|🤔🤔🦆|🃏🔺✨
18,32,0|25|25,🃏🤔🃏|♾🤔✨|♾🤔✨
18,-18,0|0|0,🦆🃏🤔|✨🤔🃏|✨🤔🃏
18,7,0|24|1,🦆🃏✨|🔺🔺🔺|🔺🤔🤔
18,-17,1|0|0,🤔🤔🦆|✨🤔🦆|🦆✨🃏
18,7,0|0|25,🔺🦆🦆|🃏🔺🤔|♾🔺♾
18,8,1|25|0,🔺🤔🤔|🔺🦆♾|🃏🔺🤔
18,-12,0|0|6,🔺🃏🦆|🦆🤔🃏|✨✨🤔
6,-6,0,🦆🦆🦆
18,7,25|0|0,✨🦆♾|🦆🔺✨|🔺🃏✨
18,-11,1|0|6,🤔🤔🦆|✨🤔✨|🃏✨✨
18,27,0|25|20,🦆🤔✨|♾✨🤔|✨🔺🔺
18,7,25|0|0,🦆✨♾|♾🦆🦆|🔺🃏🦆
18,-11,6|0|1,🤔✨✨|🃏🤔🔺|🔺🤔🤔
6,-6,0,🦆🦆🦆
18,27,25|20|0,🔺🤔♾|🔺🔺✨|🤔🦆🤔
18,2,0|20|0,🦆🃏✨|🔺🔺🃏|🤔🦆🦆
18,-12,0|6|0,✨🤔🦆|✨✨🔺|✨🤔🦆
18,-17,0|1|0,🦆✨🤔|🦆🤔🤔|🤔✨🔺
18,32,25|25|0,♾🦆✨|♾🦆✨|🦆🃏🦆
18,-6,12|0|0,🦆🃏🃏|🤔✨🃏|🦆🤔✨
18,-15,0|0|3,🔺🃏✨|🦆🦆🤔|🤔🤔🤔
18,-17,0|0|1,🦆🃏✨|✨🦆🦆|🤔🤔🃏
18,7,0|0|25,🔺🦆🦆|🤔🔺🦆|🔺🤔♾
18,-16,0|1|1,🔺🃏✨|✨🤔🤔|✨🤔🤔
18,-17,1|0|0,🔺🤔🤔|✨🦆🔺|🤔🃏✨
18,7,0|0|25,🤔🦆🃏|🦆🦆♾|♾🤔🔺
18,-18,0|0|0,🤔🃏🔺|🃏🦆🃏|🦆✨🔺
18,7,25|0|0,🤔♾🤔|🤔🃏🦆|🦆🦆🃏
18,-18,0|0|0,🦆✨🦆|🔺🦆🔺|✨🦆🃏
18,-17,0|0|1,🦆🤔🔺|🦆🦆✨|🤔🤔🃏
18,7,0|25|0,🦆🤔🦆|🔺♾🃏|🃏🔺🦆
18,-12,0|0|6,🤔🦆🤔|🔺🃏🦆|✨✨🤔
18,-18,0|0|0,✨🦆🤔|🔺✨🦆|🤔✨🔺
18,-12,0|0|6,✨🦆🤔|✨🤔✨|🤔✨✨
18,8,1|0|25,🃏🤔🤔|🦆🦆✨|🃏♾🤔
18,-17,1|0|0,🤔🤔🦆|🦆🦆🃏|🦆✨🤔
18,-12,6|0|0,🦆✨✨|🔺🃏🦆|🃏🔺✨
18,14,6|6|20,🤔✨✨|🤔✨✨|🤔🔺🔺
18,-17,1|0|0,🤔🤔✨|🃏🤔🦆|🦆🦆🦆
18,13,25|6|0,♾🦆🤔|🤔✨✨|🦆🔺🦆
18,-16,1|1|0,🤔🤔🦆|🤔🤔🦆|✨🤔🦆
18,-12,6|0|0,🃏✨✨|🃏🔺🃏|🃏🔺🃏
18,-18,0|0|0,🦆✨🦆|🦆🦆✨|🃏🤔🃏
18,32,25|0|25,♾🔺🃏|✨🦆✨|♾🔺🃏
18,17,0|10|25,🦆🔺🦆|✨✨✨|🤔♾🦆
18,7,25|0|0,🃏♾🔺|🤔🦆✨|🦆🦆🦆
18,0,0|18|0,🦆🃏🦆|🃏🃏🃏|🦆🔺🃏
18,-11,1|0|6,🔺🤔🤔|🔺🦆🦆|✨✨🦆
18,7,25|0|0,✨✨♾|🔺🤔✨|🔺🃏🦆
18,-12,6|0|0,✨✨🦆|🔺🦆🃏|🔺✨🦆
18,-6,12|0|0,🃏🃏✨|✨🦆🤔|🔺🦆🦆
18,-18,0|0|0,♾🦆🦆|✨🤔🦆|🃏🦆🃏
18,7,25|0|0,🔺🔺♾|🦆🦆🤔|🦆🤔🃏
18,-17,0|0|1,✨🦆🔺|🤔🦆🔺|🃏🤔🤔
18,-17,0|0|1,✨🤔🦆|✨🦆🔺|✨🤔🤔
18,-11,1|6|0,🔺🤔🤔|🤔✨✨|🤔🦆🦆
18,-17,0|0|1,🦆🔺✨|✨🤔🦆|🦆🤔🤔
18,-18,0|0|0,🤔✨🤔|🃏🦆🤔|🦆🃏🔺
18,32,25|25|0,🦆♾🤔|🦆♾🤔|🦆🦆✨
18,-5,0|12|1,🔺🃏✨|🃏🃏✨|🃏🤔🤔
18,7,25|0|0,🦆♾🦆|✨🃏✨|🦆🤔🦆
18,2,20|0|0,🤔🔺🔺|🃏✨🃏|🦆🦆✨
18,-15,3|0|0,🤔🤔🤔|🃏🤔🔺|🦆🔺🤔
18,19,25|0|12,🦆♾🤔|🦆🃏🤔|🃏🃏🔺
18,7,0|0|25,🤔🃏✨|🦆🦆🃏|✨♾🦆
18,-6,0|12|0,🃏🦆✨|🃏🃏🦆|🔺🃏🔺
18,3,0|20|1,🃏✨🤔|🤔🔺🔺|✨🤔🤔
18,8,1|25|0,🤔🤔🔺|♾🔺✨|🦆✨🦆
18,7,25|0|0,✨♾🃏|🔺🤔🃏|🦆✨🦆
18,-17,0|1|0,🦆🤔🦆|✨🤔🤔|🦆✨🦆
18,-5,12|0|1,🃏🃏🦆|🃏🔺🃏|🔺🤔🤔
18,7,0|0|25,🦆🔺✨|🔺🦆🔺|🃏♾🃏
18,3,0|1|20,✨🃏🔺|🤔🤔🦆|🔺🔺🃏
18,-18,0|0|0,🤔🃏✨|🃏🔺🤔|✨🤔🔺
18,-17,0|0|1,🤔🃏🔺|🦆✨🤔|🤔🤔✨
18,2,0|0|20,✨🦆🃏|🦆🃏🔺|🔺🔺✨
18,-18,0|0|0,🦆🤔✨|✨🃏✨|🤔🦆🦆
18,7,0|0|25,✨🤔🦆|🤔🔺🦆|🃏♾🦆
18,-18,0|0|0,✨🤔✨|🔺🤔🦆|🃏🤔🃏
18,8,0|25|1,🔺🃏🔺|🦆♾🤔|🦆🤔🤔
18,19,12|0|25,✨🃏🃏|🃏🤔🃏|🤔♾🃏
18,25,6|25|12,🦆✨✨|🤔🃏♾|✨🃏🃏
18,7,0|0|25,🃏🔺✨|🦆🤔🦆|🦆🔺♾
18,-18,0|0|0,🤔🃏🤔|🦆🦆✨|🔺🦆✨
18,6,24|0|0,🔺🔺🔺|🤔🃏🦆|🦆🃏✨
18,-17,0|1|0,✨🤔✨|🤔🤔🦆|🤔🦆✨
18,13,0|6|25,🤔🦆🃏|✨✨🤔|♾🔺✨
18,-18,0|0|0,🔺🦆✨|🃏🦆✨|🤔🦆🦆
18,25,0|18|25,🔺🦆🃏|🃏🃏🃏|♾✨🤔
18,-17,1|0|0,🤔🤔✨|🤔✨🃏|🦆🦆🦆
18,-18,0|0|0,🤔🦆🦆|🤔🃏🦆|✨🤔🔺
18,-12,6|0|0,🦆✨✨|🤔🃏🤔|🦆🃏🤔
18,17,0|10|25,🦆🃏🔺|✨✨✨|✨🦆♾
18,-11,1|6|0,🔺🤔🤔|✨✨🤔|🤔🦆🦆
18,19,0|25|12,✨🤔✨|♾🤔🔺|🃏🃏🤔
18,-12,6|0|0,✨✨🦆|✨🔺🦆|🔺🃏🦆
18,-17,1|0|0,🤔🤔🃏|🤔🃏🦆|🔺✨🤔
18,-18,0|0|0,✨🃏✨|🤔🃏🤔|🃏✨🃏
18,7,0|0|25,🃏🤔🃏|🦆🦆🤔|🦆♾🔺
18,-18,0|0|0,🦆🤔✨|✨🦆🦆|🔺🤔🔺
18,-18,0|0|0,✨🃏🦆|✨🤔🔺|🤔✨🦆
18,32,0|25|25,✨🃏🦆|🦆✨♾|🦆✨♾
18,-18,0|0|0,🦆🤔✨|🔺✨🦆|🃏🔺🦆
6,-6,0,🦆🦆🦆
18,13,0|6|25,🔺✨🦆|🔺✨✨|🃏♾🔺
18,8,0|1|25,🦆🔺🦆|🤔🤔🦆|🔺♾🦆
18,-18,0|0|0,🃏🔺🃏|🤔✨🔺|🔺✨🃏
18,7,0|25|0,🦆🔺🤔|♾🦆🃏|🤔✨🔺
18,-18,0|0|0,🔺🃏🤔|🤔✨🤔|🤔🦆🤔
18,20,20|0|18,🔺🔺✨|🦆🦆🤔|🃏🃏🃏
18,22,20|0|20,🦆🔺🔺|✨🦆🃏|🦆🔺🔺
18,-18,0|0|0,🃏✨🤔|🔺✨🤔|🦆🦆🔺
18,-12,0|0|6,✨🤔🦆|🦆🦆✨|✨✨🔺
18,19,6|25|6,✨✨🃏|🔺♾🃏|✨✨🃏
18,-18,0|0|0,🤔🃏🤔|🦆🃏✨|✨🤔🦆
18,-18,0|0|0,🤔🦆✨|🃏🦆🦆|🦆🤔🔺
18,-18,0|0|0,✨🦆🦆|🃏🦆✨|🃏🔺🃏
18,4,12|0|10,🃏🃏🤔|🔺🤔✨|✨✨✨
18,-12,0|0|6,🦆🤔🦆|✨🃏🔺|✨✨🦆
18,42,0|10|50,✨🔺🦆|✨✨✨|✨♾♾
18,8,25|0|1,♾🦆🔺|✨🦆🤔|🦆🤔🤔
18,-18,0|0|0,✨🦆🦆|✨🦆🦆|🦆✨🔺
18,7,25|0|0,🦆♾✨|✨🦆🦆|🦆🤔🃏
18,-12,6|0|0,✨✨🦆|🦆🃏✨|✨🤔🔺
18,8,1|25|0,🤔🤔🃏|✨♾🦆|🤔🔺🃏
18,35,3|25|25,🤔🤔🤔|♾🤔🦆|♾🤔🦆
18,-6,0|0|12,🦆🦆🔺|✨🔺🦆|🦆🃏🃏
18,-18,0|0|0,🤔🦆🦆|🔺🤔🦆|🤔🦆✨
